OPE ID,Institution Name,City,State ,Zip Code,Institution Type,Institution Fiscal Year,Composite Score for Institution Fiscal Year Ending 7/01/2014 and 6/30/2015,,,,
03584400,Colorado School of Healing Arts,Lakewood,CO,80226-4332,Proprietary,12/31/2014,3.0,,,,
03670300,TONI&GUY Hairdressing Academy,Colorado Springs,CO,80918-4001,Proprietary,12/31/2014,2.9,,,,
03686300,Colorado School of Traditional Chinese Medicine,Denver,CO,80206-2127,Proprietary,12/31/2014,2.5,,,,
03976300,Massage Therapy Institute of Colorado,Denver,CO,80206-2127,Proprietary,12/31/2014,3.0,,,,
04080300,Aspen University,Denver,CO,80246-1930,Proprietary,04/30/2015,1.6,,,,
04093300,Academy of Natural Therapy,Greeley,CO,80631-3425,Proprietary,12/31/2014,-0.3,,,,
04100400,Taft University System (The),Glendale,CO,80246-1792,Proprietary,12/31/2014,2.7,,,,
04121200,Institute of Taoist Education and Acupuncture,Louisville,CO,80027-1028,Non Profit,08/31/2014,2.7,,,,
04125100,Montessori Casa International,Denver,CO,80230-7106,Non Profit,12/31/2014,2.7,,,,
04127700,American Sentinel University,Aurora,CO,80014-6510,Proprietary,12/31/2014,2.2,,,,
04139300,National Beauty College,Denver,CO,80221-0000,Proprietary,12/31/2014,-1.0,,,,
04167100,Aveda Institute Denver,Denver,CO,80202-0000,Proprietary,12/31/2014,2.2,,,,
04170200,Paul Mitchell The School Colorado Springs,Colorado Springs,CO,80903-0000,Proprietary,12/31/2014,1.5,,,,
04172500,Rolf Institute of Structural Integration (The),Boulder,CO,80301-0000,Non Profit,12/31/2014,2.6,,,,
04173800,Salon Professional Academy (The),Colorado Springs,CO,80918-2932,Proprietary,12/31/2014,1.6,,,,
04179700,United Beauty College,Denver,CO,80223-2936,Proprietary,12/31/2014,3.0,,,,
04183700,Healing Arts Institute,Fort Collins,CO,80525-3479,Proprietary,12/31/2014,3.0,,,,
04184900,College of International Esthetics,Arvada,CO,80002-3754,Proprietary,06/30/2015,1.5,,,,
04185000,Colorado Academy of Veterinary Technology,Colorado Springs,CO,80906-4944,Proprietary,12/31/2014,1.5,,,,
04185400,National Personal Training Institute of Colorado,Lakewood,CO,80401-3304,Proprietary,09/30/2014,1.2,,,,
04195300,Longs Peak Academy,Longmont,CO,80501-6458,Proprietary,12/31/2014,3.0,,,,
04202600,New Dimensions Beauty Academy,Parker,CO,80138-9801,Proprietary,12/31/2014,2.3,,,,
04218900,Rocky Vista University,Parker,CO,80134-9498,Proprietary,12/31/2014,3.0,,,,
04221400,Paul Mitchell the School Denver,Lakewood,CO,80226-7395,Proprietary,06/30/2015,2.2,,,,
00754800,Westwood College - Denver North,Denver,CO,80221-3653,Proprietary,09/30/2014,1.3,,,,
02611000,Heritage College,Denver,CO,80212-7413,Proprietary,12/31/2014,1.7,,,,
03534300,Jones International University,Centennial,CO,80112-3446,Proprietary,12/31/2014,1.6,,,,
00137400,Albertus Magnus College,New Haven,CT,06511-1189,Non Profit,06/30/2015,2.8,,,,
00137900,Connecticut College,New London,CT,06320-4196,Non Profit,06/30/2015,2.6,,,,
00138500,Fairfield University,Fairfield,CT,06824-5171,Non Profit,06/30/2015,3.0,,,,
00138700,Hartford Seminary,Hartford,CT,06105-2279,Non Profit,06/30/2015,2.2,,,,
00138900,Holy Apostles College & Seminary,Cromwell,CT,06416-2027,Non Profit,06/30/2015,3.0,,,,
00139300,Mitchell College,New London,CT,06320-4498,Non Profit,06/30/2015,2.5,,,,
00139700,University of New Haven,West Haven,CT,06516-1999,Non Profit,06/30/2015,3.0,,,,
00140100,Post University,Waterbury,CT,06723-3240,Proprietary,06/30/2015,2.1,,,,
00140200,Quinnipiac University,Hamden,CT,06518-1908,Non Profit,06/30/2015,3.0,,,,
00140300,Sacred Heart University,Fairfield,CT,06825-1000,Non Profit,06/30/2015,3.0,,,,
00140900,University of Saint Joseph,West Hartford,CT,06117-2791,Non Profit,06/30/2015,2.1,,,,
00141400,Trinity College,Hartford,CT,06106-3100,Non Profit,06/30/2015,2.7,,,,
00141600,University of Bridgeport,Bridgeport,CT,06601-5650,Non Profit,06/30/2015,2.8,,,,
00142200,University of Hartford,West Hartford,CT,06117-1599,Non Profit,06/30/2015,2.8,,,,
00142400,Wesleyan University,Middletown,CT,06459-3208,Non Profit,06/30/2015,3.0,,,,
00142600,Yale University,New Haven,CT,06520-8229,Non Profit,06/30/2015,2.7,,,,
00618100,Bridgeport Hospital School of Nursing,Bridgeport,CT,06610-2896,Non Profit,09/30/2014,2.8,,,,
00619100,St Vincent's College,Bridgeport,CT,06606-9966,Non Profit,09/30/2014,3.0,,,,
00745900,Paier College of Art,Hamden,CT,06514-3902,Proprietary,06/30/2015,1.8,,,,
00887300,Paul Mitchell the School Danbury,Danbury,CT,06810-6716,Proprietary,12/31/2014,2.0,,,,
01077900,Porter and Chester Institute,Stratford,CT,06615-7158,Proprietary,07/31/2014,1.0,,,,
01242500,Stone Academy,West Haven,CT,06516-4049,Proprietary,12/31/2014,1.7,,,,
02106600,American Institute,West Hartford,CT,06110-1922,Proprietary,12/31/2014,3.0,,,,
02112300,Ridley - Lowell Business & Technical Institute,New London,CT,06320-5548,Proprietary,06/30/2015,1.8,,,,
02112700,"North Haven Academy, LLC",North Haven,CT,06473-3108,Proprietary,12/31/2014,1.7,,,,
02148700,Connecticut Institute of Hair Design,Wolcott,CT,06716-3322,Proprietary,12/31/2014,2.8,,,,
02202500,New England Tractor Trailer Training School of Conn,Somers,CT,06071-2036,Proprietary,12/31/2014,2.0,,,,
02244900,Goodwin College,East Hartford,CT,06118-9980,Non Profit,06/30/2015,3.0,,,,
02265900,Windham Community Memorial Hospital Program Of Radiologic Technology,Willimantic,CT,06226-2041,Non Profit,09/30/2014,-0.9,,,,
03094800,Industrial Management & Training Institute,Waterbury,CT,06706-1211,Proprietary,07/31/2014,2.4,,,,
04104300,Academy Di Capelli,Wallingford,CT,06492-0000,Proprietary,12/31/2014,1.3,,,,
04128800,Branford Academy of Hair & Cosmetology,Branford,CT,06405-6066,Proprietary,12/31/2014,2.9,,,,
04145400,Oxford Academy of Hair Design,Seymour,CT,06483-2911,Proprietary,12/31/2014,2.7,,,,
04148400,European Academy of Cosmetology and Hairdressing (The),Guilford,CT,06437-0000,Proprietary,12/31/2014,1.7,,,,
04152400,International Institute of Cosmetology,Wethersfield,CT,06109-0000,Proprietary,12/31/2014,2.2,,,,
04219200,Ace Cosmetology & Barbering Training Center,Waterbury,CT,06705-0000,Proprietary,12/31/2014,2.3,,,,
04224200,Belle Academy of Cosmetology,Waterbury,CT,06704-0135,Proprietary,12/31/2014,1.7,,,,
04230900,Ricci's Toni & Guy Hairdressing Academy,Newtown,CT,06470-0000,Proprietary,12/31/2014,2.3,,,,
04249800,Dolce LLC The Academy,Waterbury,CT,06705-2685,Proprietary,06/30/2015,1.7,,,,
00145900,Strayer University,Washington,DC,20005-2603,Proprietary,12/31/2014,3.0,,,,
00143400,American University,Washington,DC,20016-8020,Non Profit,04/30/2015,3.0,,,,
00143700,Catholic University of America,Washington,DC,20064-0002,Non Profit,04/30/2015,3.0,,,,
00144300,Gallaudet University,Washington,DC,20002-3695,Non Profit,09/30/2014,3.0,,,,
00144400,George Washington University,Washington,DC,20052-2353,Non Profit,06/30/2015,2.6,,,,
00144500,Georgetown University,Washington,DC,20057-1252,Non Profit,06/30/2015,2.7,,,,
00144800,Howard University,Washington,DC,20059-0001,Non Profit,06/30/2015,1.9,,,,
00146000,Trinity College,Washington,DC,20017-1004,Non Profit,06/30/2015,2.8,,,,
00146400,Wesley Theological Seminary,Washington,DC,20016-5690,Non Profit,06/30/2015,2.2,,,,
01280300,Dominican House of Studies,Washington,DC,20017-1584,Non Profit,06/30/2015,2.6,,,,
02132800,National Conservatory of Dramatic Arts,Washington,DC,20007-2758,Non Profit,08/31/2014,2.2,,,,
03104300,Career Technical Institute,Washington,DC,20005-3521,Proprietary,12/31/2014,2.9,,,,
03218300,University of the Potomac,Washington,DC,20005-9997,Proprietary,12/31/2014,1.5,,,,
03409600,Bennett Career Institute,Washington,DC,20017-1754,Proprietary,12/31/2014,3.0,,,,
03750300,Prospect College,Washington,DC,20006-3749,Proprietary,09/30/2014,2.4,,,,
04114400,Institute of World Politics (The),Washington,DC,20036-1464,Non Profit,07/31/2014,3.0,,,,
04142700,Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064-0001,Non Profit,12/31/2014,1.4,,,,
04202500,Graduate School,Washington,DC,20024-2520,Non Profit,06/30/2015,2.8,,,,
00142900,Goldey-Beacom College,Wilmington,DE,19808-1993,Non Profit,06/30/2015,3.0,,,,
00143300,Wesley College,Dover,DE,19901-3875,Non Profit,06/30/2015,1.8,,,,
00794800,Wilmington University,New Castle,DE,19720-6491,Non Profit,06/30/2015,3.0,,,,
02125200,Margaret H. Rollins School of Nursing at Beebe Medical Center,Lewes,DE,19958-1462,Non Profit,06/30/2015,2.3,,,,
02190400,Schilling - Douglas School of Hair Design,Newark,DE,19711-0000,Proprietary,12/31/2014,2.9,,,,
03025800,Dawn Career Institute,Wilmington,DE,19805-1511,Proprietary,06/30/2015,-1.0,,,,
03702300,Delaware Learning Institute of Cosmetology,Dagsboro,DE,19939-9759,Proprietary,12/31/2014,2.5,,,,
04130700,Academy of Massage and Bodywork,Bear,DE,19701-1344,Proprietary,12/31/2014,2.2,,,,
04139800,Delaware College of Art and Design,Wilmington,DE,19801-3007,Non Profit,06/30/2015,2.5,,,,
04171100,Paul Mitchell The School Delaware,Newark,DE,19702-5108,Proprietary,06/30/2015,2.1,,,,
04250300,Hair Academy School of Barbering & Beauty,Newark,DE,19713-2305,Proprietary,12/31/2014,2.8,,,,
00146600,Barry University,Miami Shores,FL,33161-6628,Non Profit,06/30/2015,3.0,,,,
00146700,Bethune Cookman University,Daytona Beach,FL,32114-3099,Non Profit,06/30/2015,2.5,,,,
00146800,Saint Thomas University,Miami Gardens,FL,33054-0000,Non Profit,06/30/2015,2.5,,,,
00146900,Florida Institute of Technology,Melbourne,FL,32901-6988,Non Profit,04/30/2015,2.0,,,,
00147300,Clearwater Christian College,Clearwater,FL,33759-4595,Non Profit,06/30/2015,1.0,,,,
00147800,Edward Waters College,Jacksonville,FL,32209-6199,Non Profit,06/30/2015,2.2,,,,
00147900,Embry-Riddle Aeronautical University,Daytona Beach,FL,32114-3900,Non Profit,06/30/2015,3.0,,,,
00148200,Florida College,Temple Terrace,FL,33617-5578,Non Profit,05/31/2015,2.0,,,,
00148600,Florida Memorial University,Miami Gardens,FL,33054-6199,Non Profit,06/30/2015,2.5,,,,
00148700,Eckerd College,Saint Petersburg,FL,33711-4744,Non Profit,06/30/2015,2.6,,,,
00148800,Florida Southern College,Lakeland,FL,33801-5698,Non Profit,05/31/2015,3.0,,,,
00149500,Jacksonville University,Jacksonville,FL,32211-3394,Non Profit,06/30/2015,2.5,,,,
00149700,Jones College,Jacksonville,FL,32205-5395,Non Profit,06/30/2015,3.0,,,,
00150500,Lynn University,Boca Raton,FL,33431-5598,Non Profit,06/30/2015,2.4,,,,
00150900,Nova Southeastern University-Davie,Fort Lauderdale,FL,33314-7796,Non Profit,06/30/2015,3.0,,,,
00151500,Rollins College,Winter Park,FL,32789-4499,Non Profit,05/31/2015,2.4,,,,
00152100,Southeastern University,Lakeland,FL,33801-6099,Non Profit,06/30/2015,2.8,,,,
00152600,Saint Leo University,Saint Leo,FL,33574-6665,Non Profit,06/30/2015,3.0,,,,
00153100,Stetson University,DeLand,FL,32723-3761,Non Profit,06/30/2015,2.5,,,,
00153600,University of Miami,Coral Gables,FL,33146-6531,Non Profit,05/31/2015,2.6,,,,
00153800,University of Tampa (The),Tampa,FL,33606-1490,Non Profit,05/31/2015,3.0,,,,
00154000,Webber International University,Babson Park,FL,33827-0096,Non Profit,05/31/2015,2.6,,,,
00789300,Flagler College,Saint Augustine,FL,32085-4342,Non Profit,06/30/2015,3.0,,,,
00807500,St. John Vianney College Seminary,Miami,FL,33165-3244,Non Profit,06/30/2015,3.0,,,,
00822300,St. Vincent de Paul Regional Seminary,Boynton Beach,FL,33436-4899,Non Profit,06/30/2015,3.0,,,,
00841700,Stenotype Institute of Jacksonville,Jacksonville,FL,32207-0000,Proprietary,12/31/2014,2.1,,,,
00884800,Warner University,Lake Wales,FL,33859-8725,Non Profit,06/30/2015,1.7,,,,
00884900,Palm Beach Atlantic University,West Palm Beach,FL,33401-6505,Non Profit,06/30/2015,2.6,,,,
01016100,Loraines Academy & Spa,Saint Petersburg,FL,33710-6391,Proprietary,12/31/2014,2.8,,,,
01112700,Gooding Institute of Nurse Anesthesia,Panama City,FL,32401-2515,Proprietary,12/31/2014,0.5,,,,
01257400,Ringling College of Art & Design,Sarasota,FL,34234-5895,Non Profit,05/31/2015,3.0,,,,
02148200,Fashion Focus Hair Academy,Sarasota,FL,34231-4815,Proprietary,12/31/2014,2.8,,,,
02149900,Paul Mitchell the School-Jacksonville,Jacksonville,FL,32246-4737,Proprietary,09/30/2014,1.6,,,,
02156300,Margate School of Beauty,Margate,FL,33063-5721,Proprietary,12/31/2014,2.5,,,,
02159600,Baptist College of Florida (The),Graceville,FL,32440-3306,Non Profit,06/30/2015,3.0,,,,
02188900,Hobe Sound Bible College,Hobe Sound,FL,33455-7734,Non Profit,06/30/2015,1.0,,,,
02200100,"GUTI, The Premier Beauty and Wellness Academy",Bradenton,FL,34210-3121,Proprietary,12/31/2014,1.8,,,,
02257900,International Academy,South Daytona,FL,32119-3541,Proprietary,10/31/2014,2.1,,,,
02278800,Southern Technical College,Fort Myers,FL,33907-1157,Proprietary,12/31/2014,-0.2,,,,
02283800,Beauty Schools of America,Hialeah,FL,33012-3322,Proprietary,12/31/2014,2.8,,,,
02287100,La Belle Beauty School,Hialeah,FL,33012-3224,Proprietary,12/31/2014,3.0,,,,
02293600,Advanced Technical Centers,Miami Springs,FL,33266-1597,Non Profit,06/30/2015,2.3,,,,
02314100,Schiller International University,Largo,FL,33771-3842,Proprietary,12/31/2014,1.7,,,,
02325100,Key College,Dania Beach,FL,33004-3046,Proprietary,12/31/2014,1.8,,,,
02326900,Sunstate Academy,Fort Myers,FL,33907-1415,Proprietary,06/30/2015,1.8,,,,
02329900,Florida Institute of Ultrasound,Pensacola,FL,32514-4913,Proprietary,12/31/2014,1.4,,,,
02338400,Fort Pierce Beauty Academy,Fort Pierce,FL,34982-0000,Proprietary,12/31/2014,1.8,,,,
02362100,Full Sail University,Winter Park,FL,32792-7427,Proprietary,07/31/2014,2.6,,,,
02499000,Academy of Cosmetology,Merritt Island,FL,32953-3311,Proprietary,12/31/2014,2.6,,,,
02508900,Talmudic College of Florida,Miami Beach,FL,33140-1507,Non Profit,07/31/2014,2.7,,,,
02515400,City College,Fort Lauderdale,FL,33309-3073,Non Profit,09/30/2014,2.6,,,,
02517100,Sarasota School of Massage Therapy,Sarasota,FL,34243-6130,Proprietary,12/31/2014,1.9,,,,
02547600,Florida National University,Hialeah,FL,33012-4108,Proprietary,12/31/2014,3.0,,,,
02573200,La Belle Beauty Academy,Miami,FL,33135-2827,Proprietary,12/31/2014,3.0,,,,
02612700,"Salon Professional Academy - Melbourne, The",Melbourne,FL,32904-3919,Proprietary,12/31/2014,2.1,,,,
03012300,ASM Beauty World Academy,Davie,FL,33314-3205,Proprietary,06/30/2015,1.5,,,,
03018500,Bene's International School of Beauty,New Port Richey,FL,34652-1636,Proprietary,12/31/2014,1.9,,,,
03028200,Trinity College of Florida,Trinity,FL,34655-4401,Non Profit,06/30/2015,3.0,,,,
03035900,National Aviation Academy,Clearwater,FL,33760-3931,Proprietary,06/30/2015,2.6,,,,
03037500,Hodges University,Naples,FL,34119-7932,Non Profit,06/30/2015,3.0,,,,
03071600,College of Business & Technology,Miami,FL,33174-2407,Proprietary,06/30/2015,2.4,,,,
03089200,Nouvelle Institute,Miami,FL,33125-4141,Proprietary,04/30/2015,2.4,,,,
03099600,"Mercy Hospital School of Practical Nursing, A Program of Plantation Ge",Miami,FL,33133-4237,Proprietary,12/31/2014,-0.2,,,,
03101900,Trinity Baptist College,Jacksonville,FL,32221-1398,Non Profit,06/30/2015,2.4,,,,
03108600,Compu-Med Vocational Careers,Hialeah,FL,33012-4861,Proprietary,06/30/2015,2.4,,,,
03113400,Academy of Palm Beach,Lake Worth,FL,33463-2113,Proprietary,12/31/2014,-1.0,,,,
03114700,Praxis Institute,Miami,FL,33135-2657,Proprietary,12/31/2014,2.6,,,,
03115500,Adventist University of Health Sciences,Orlando,FL,32803-1237,Non Profit,06/30/2015,2.5,,,,
03123900,Southeastern College,West Palm Beach,FL,33411-0000,Proprietary,12/31/2014,-0.9,,,,
03125600,Miami Ad School,Miami,FL,33127-5203,Proprietary,12/31/2014,1.1,,,,
03224300,New Professions Technical Institute,Miami,FL,33134-1640,Proprietary,12/31/2014,2.0,,,,
03238300,Florida College of Integrative Medicine,Orlando,FL,32809-5721,Proprietary,06/30/2015,2.7,,,,
03256300,Yeshiva Gedolah Rabbinical College,Miami Beach,FL,33139-4708,Non Profit,06/30/2015,3.0,,,,
03264300,South Florida Bible College and Theological Seminary,Deerfield Beach,FL,33441-5768,Non Profit,06/30/2015,3.0,,,,
03346300,Academy for Nursing and Health Occupations,West Palm Beach,FL,33417-4574,Non Profit,07/31/2014,3.0,,,,
03373300,Beacon College,Leesburg,FL,34748-5224,Non Profit,06/30/2015,0.9,,,,
03411400,International Training Careers,Miami,FL,33155-1462,Non Profit,06/30/2015,2.2,,,,
03414500,Acupuncture and Massage College,Miami,FL,33176-1509,Proprietary,12/31/2014,0.8,,,,
03429600,Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,33301-3510,Non Profit,12/31/2014,2.3,,,,
03433400,New Concept Massage and Beauty School,Miami,FL,33135-0000,Proprietary,12/31/2014,3.0,,,,
03491400,American Advanced Technicians Institute,Hialeah,FL,33014-4430,Proprietary,12/31/2014,1.8,,,,
03549300,Ultimate Medical Academy,Clearwater,FL,33756-4917,Non Profit,12/31/2014,1.6,,,,
03557300,North Florida Cosmetology Institute,Tallahassee,FL,32312-2603,Proprietary,12/31/2014,1.8,,,,
03611400,Florida Barber Academy,Plantation,FL,33317-3127,Proprietary,12/31/2014,1.8,,,,
03618300,Institute of Technical Arts,Casselberry,FL,32707-4912,Proprietary,12/31/2014,1.9,,,,
03627400,Jacksonville Beauty Institute,Jacksonville,FL,32208-1885,Proprietary,12/31/2014,1.6,,,,
03627600,Florida Education Institute,Miami,FL,33144-5036,Proprietary,12/31/2014,2.6,,,,
03661400,South Florida Institute of Technology,Miami,FL,33125-3013,Proprietary,12/31/2014,1.8,,,,
03691400,Ave Maria School of Law,Naples,FL,34119-1376,Non Profit,06/30/2015,0.0,,,,
03696400,Saber College,Miami,FL,33134-1604,Non Profit,06/30/2015,2.5,,,,
03706300,American Institute,Margate,FL,33063-3901,Proprietary,12/31/2014,1.8,,,,
03757300,Advance Science Institute,Hialeah,FL,33012-0000,Proprietary,12/31/2014,1.8,,,,
03801400,Beauty Institute (The),West Palm Beach,FL,33409-2972,Proprietary,12/31/2014,2.5,,,,
03816300,Artistic Nails & Beauty Academy,Tampa,FL,33605-5919,Proprietary,12/31/2014,1.8,,,,
03823300,Florida Academy of Health & Beauty,Oakland Park,FL,33311-2901,Proprietary,12/31/2014,3.0,,,,
03832300,Dade Medical College,Miami,FL,33126-5534,Proprietary,12/31/2014,1.6,,,,
03842500,Cambridge Institute of Allied Health and Technology,Altamonte Springs,FL,32701-0000,Proprietary,12/31/2014,1.8,,,,
03856300,Universal Career School,Sweetwater,FL,33174-4406,Proprietary,06/30/2015,3.0,,,,
03856500,Florida School of Traditional Midwifery,Gainesville,FL,32601-5507,Non Profit,12/31/2014,-0.1,,,,
03888300,Dragon Rises College of Oriental Medicine,Gainesville,FL,32601-5089,Non Profit,12/31/2014,3.0,,,,
03903500,Southern Technical College,Orlando,FL,32809-0000,Proprietary,12/31/2014,-0.2,,,,
03939300,Wolford College,Naples,FL,34108-1931,Proprietary,12/31/2014,2.0,,,,
03939600,Daytona College,Ormond Beach,FL,32174-8449,Proprietary,12/31/2014,2.1,,,,
03941300,Ave Maria University,Ave Maria,FL,34142-9505,Non Profit,06/30/2015,2.2,,,,
03985300,CDA Technical Institute,Jacksonville,FL,32208-4131,Proprietary,12/31/2014,3.0,,,,
03986300,Aviator College of Aeronautical Science & Technology,Fort Pierce,FL,34946-9022,Proprietary,12/31/2014,3.0,,,,
04016500,American Institute of Beauty,Largo,FL,33771-5901,Proprietary,12/31/2014,2.8,,,,
04029300,Trendsetters of FL. School of Beauty & Barbering,Jacksonville,FL,32205-4737,Proprietary,12/31/2014,3.0,,,,
04039300,Sullivan and Cogliano Training Centers,Miami Gardens,FL,33014-6427,Proprietary,12/31/2014,2.4,,,,
04105400,Pensacola School of Massage Therapy & Health Careers,Pensacola,FL,32504-7337,Proprietary,12/31/2014,2.4,,,,
04116400,Future-Tech Institute,Miami,FL,33135-4142,Proprietary,12/31/2014,2.3,,,,
04116600,Taylor College,Belleview,FL,34420-8714,Proprietary,12/31/2014,1.1,,,,
04119400,Aveda Institute - South Florida,Davie,FL,33328-0000,Proprietary,12/31/2014,2.2,,,,
04120400,Paul Mitchell The School Miami,Miami,FL,33156-0000,Proprietary,12/31/2014,2.1,,,,
04126900,Academy of Career Training,Kissimmee,FL,34741-4644,Proprietary,12/31/2014,3.0,,,,
04127400,Digital Media Arts College,Boca Raton,FL,33487-3511,Proprietary,12/31/2014,1.6,,,,
04128400,Management Resources College,Miami Springs,FL,33166-5473,Proprietary,12/31/2014,3.0,,,,
04129900,Florida School of Massage,Gainesville,FL,32608-5419,Proprietary,12/31/2014,1.7,,,,
04130400,Shear Excellence Hair Academy,Tampa,FL,33614-2783,Proprietary,12/31/2014,1.8,,,,
04133500,Academy for Five Element Acupuncture,Gainesville,FL,32601-6811,Non Profit,09/30/2014,2.9,,,,
04133900,Futura Career Institute,Hialeah,FL,33012-3325,Proprietary,12/31/2014,2.0,,,,
04135000,Cozmo The School,Bonita Springs,FL,34135-4810,Proprietary,12/31/2014,0.5,,,,
04135900,Orion College,Plantation,FL,33317-0000,Proprietary,12/31/2014,2.2,,,,
04140800,North Florida Academy,Orange Park,FL,32065-7758,Proprietary,12/31/2014,3.0,,,,
04143100,Professional Hands Institute,Miami,FL,33126-4140,Proprietary,06/30/2015,1.8,,,,
04145900,Celebrity School of Beauty,Miami,FL,33144-4153,Proprietary,12/31/2014,2.1,,,,
04148500,Medical Institute of Palm Beach,Greenacres,FL,33463-3276,Proprietary,12/31/2014,2.7,,,,
04151500,American Academy of Cosmetology,Orange Park,FL,32065-8026,Proprietary,12/31/2014,1.5,,,,
04156300,University of Fort Lauderdale,Lauderhill,FL,33313-5809,Non Profit,06/30/2015,2.7,,,,
04157100,Aerosim Flight Academy,Sanford,FL,32773-9683,Proprietary,12/31/2014,-0.6,,,,
04162000,Jose Maria Vargas University,Pembroke Pines,FL,33026-4534,Proprietary,12/31/2014,1.4,,,,
04162500,Hollywood Institute of Beauty Careers,Hollywood,FL,33023-6720,Proprietary,12/31/2014,2.1,,,,
04163000,Summit Salon Academy,Tampa,FL,33624-6321,Proprietary,12/31/2014,1.5,,,,
04163100,Summit Salon Academy - Gainesville,Gainesville,FL,32607-1672,Proprietary,06/30/2015,2.6,,,,
04163200,Tenaj Salon Institute,The Villages,FL,32162-9311,Proprietary,12/31/2014,1.9,,,,
04164500,Eureka Institute of Health and Beauty,Miami,FL,33174-4205,Proprietary,12/31/2014,2.0,,,,
04167300,Salon Professional Academy (The),Fort Myers,FL,33907-1015,Proprietary,12/31/2014,-1.0,,,,
04170300,Beauty Academy of South Florida,Hialeah Gardens,FL,33016-2421,Proprietary,12/31/2014,3.0,,,,
04172300,"Eternity Cosmetology School, Corp.",West Palm Beach,FL,33415-5719,Proprietary,12/31/2014,1.8,,,,
04176900,American Health Institute,Port Richey,FL,34668-3743,Proprietary,12/31/2014,1.8,,,,
04182500,Millennia Atlantic University,Doral,FL,33178-2995,Proprietary,12/31/2014,1.8,,,,
04188300,Florida Academy,Fort Myers,FL,33966-1155,Proprietary,12/31/2014,2.1,,,,
04192100,American Medical Academy,Miami,FL,33186-4830,Proprietary,12/31/2014,3.0,,,,
04195100,Ambiance Beauty & Barber Academy,Melbourne,FL,32935-8771,Proprietary,12/31/2014,2.4,,,,
04197600,"Florida Institute of Recording, Sound and Technology",Orlando,FL,32804-3309,Proprietary,12/31/2014,3.0,,,,
04204600,Beauty and Health Institute,Tampa,FL,33626-2610,Proprietary,12/31/2014,2.2,,,,
04206300,Florida Vocational Institute,Miami,FL,33154-3762,Proprietary,12/31/2014,2.0,,,,
04209500,Shear Finesse Hairstyling Academy,Jacksonville,FL,32208-5005,Proprietary,12/31/2014,2.9,,,,
04210800,NRI Institute of Health Sciences,Royal Palm Beach,FL,33411-4221,Proprietary,12/31/2014,1.7,,,,
04212600,Cosmix School of Makeup Artistry,Fort Lauderdale,FL,33306-1640,Proprietary,12/31/2014,2.4,,,,
04213200,Kaizen Beauty Academy,Pembroke Pines,FL,33024-6609,Proprietary,12/31/2014,2.1,,,,
04214500,Prestige Health & Beauty Sciences Academy,North Miami Beach,FL,33160-4102,Proprietary,06/30/2015,3.0,,,,
04216600,Azure College,Miami Gardens,FL,33169-5345,Proprietary,12/31/2014,0.6,,,,
04216900,San Ignacio College,Doral,FL,33178-2350,Proprietary,12/31/2014,1.8,,,,
04217800,Boca Beauty Academy,Boca Raton,FL,33434-4178,Proprietary,12/31/2014,3.0,,,,
04220200,More Tech Institute,Hialeah,FL,33012-2165,Proprietary,12/31/2014,2.7,,,,
04223400,InterAmerican Technical Institute,Miami,FL,00174-2950,Proprietary,12/31/2014,1.5,,,,
04225000,Parisian Spa Institute,Jacksonville,FL,32204-4127,Proprietary,12/31/2014,3.0,,,,
04225200,Yechanlaz Instituto Vocacional,Miami,FL,33144-4817,Proprietary,06/30/2015,0.1,,,,
04227500,Merryfield School of Pet Grooming,Oakland Park,FL,33334-4925,Proprietary,12/31/2014,2.4,,,,
04228900,Beauty Anatomy Institute of Cosmetology and Wellness,Pompano Beach,FL,33062-1000,Proprietary,12/31/2014,1.8,,,,
04229700,First Coast Barber Academy,Jacksonville,FL,32210-8054,Proprietary,12/31/2014,2.2,,,,
04233200,Unilatina International College,Miramar,FL,33025-3943,Proprietary,06/30/2015,2.8,,,,
04233400,Lee Professional Institute,Fort Myers,FL,33916-9320,Proprietary,06/30/2015,2.3,,,,
04233500,Med-Life Institute,Naples,FL,34113-4131,Proprietary,12/31/2014,3.0,,,,
04233600,Med-Life Institute,Lauderdale Lakes,FL,33319-4825,Proprietary,12/31/2014,1.8,,,,
04233900,Atlantis University,Miami,FL,33132-1417,Proprietary,12/31/2014,1.8,,,,
04234500,Burnett International College,Boynton Beach,FL,33426-6591,Proprietary,12/31/2014,1.7,,,,
04238400,Florida International Training Institute,Doral,FL,33172-1507,Proprietary,12/31/2014,1.8,,,,
04238500,Training Domain (The),Fort Myers,FL,33907-4080,Proprietary,06/30/2015,1.9,,,,
04242000,Latin Beauty Academy,Greenacres,FL,33415-6104,Proprietary,12/31/2014,3.0,,,,
04243600,International Hair and Barber Academy,Boca Raton,FL,33433-3443,Proprietary,12/31/2014,1.8,,,,
04244700,Med Academy,Hialeah,FL,33018-4937,Proprietary,12/31/2014,3.0,,,,
04246900,PiBerry Institute,Naranja,FL,33032-8219,Proprietary,12/31/2014,1.6,,,,
04247900,Institute of Healthcare Professions,West Palm Beach,FL,33407-2016,Proprietary,12/31/2014,1.8,,,,
04249400,Center for Neurosomatic Studies,Clearwater,FL,33760-3712,Proprietary,12/31/2014,2.3,,,,
